WKT,Business Name,Industry Category,Corridor,Latitude,Longitude,Google Maps Link
"POINT (77.036608 11.062753)",PROCARVIT FOOD PRODUCTS (INDIA) PVT LTD,Food Processing,Avinashi Road – Arasur Industrial Corridor,11.062753,77.036608,https://www.google.com/maps/place/PROCARVIT+FOOD+PRODUCTS+%28INDIA%29+PVT+LTD/data=!4m7!3m6!1s0x3ba858efb504b1b1:0x6935546ba68435c9!8m2!3d11.062753!4d77.036608!16s%2Fg%2F1txnmx3r!19sChIJsbEEte9YqDsRyTWEpmtUNWk?authuser=0&hl=en&rclk=1
"POINT (77.053491 11.046774)",Blackstone shipping Pvt. Ltd.,Logistics,Avinashi Road – Arasur Industrial Corridor,11.046774,77.053491,https://www.google.com/maps/place/Blackstone+shipping+Pvt.+Ltd./data=!4m7!3m6!1s0x3ba857cc99cb86a7:0x4606fa4cbfc0e475!8m2!3d11.046774!4d77.053491!16s%2Fg%2F11tg0nf5qy!19sChIJp4bLmcxXqDsRdeTAv0z6BkY?authuser=0&hl=en&rclk=1
"POINT (77.037883 11.0328881)",Send Easy Logistics in Coimbatore,Logistics,Avinashi Road – Arasur Industrial Corridor,11.0328881,77.037883,https://www.google.com/maps/place/Send+Easy+Logistics+in+Coimbatore/data=!4m7!3m6!1s0x3ba8558686191347:0x8d5db7b8977735ba!8m2!3d11.0328881!4d77.037883!16s%2Fg%2F11h55dp95p!19sChIJRxMZhoZVqDsRujV3l7i3XY0?authuser=0&hl=en&rclk=1
"POINT (77.0515069 11.0595766)",Crystal Cargo,Logistics,Avinashi Road – Arasur Industrial Corridor,11.0595766,77.0515069,https://www.google.com/maps/place/Crystal+Cargo/data=!4m7!3m6!1s0x3ba857ccfc6bc9f7:0x5a3a1e6cf4fafda5!8m2!3d11.0595766!4d77.0515069!16s%2Fg%2F11gf5mjz9d!19sChIJ98lr_MxXqDsRpf369GweOlo?authuser=0&hl=en&rclk=1
"POINT (77.0359368 11.0400852)",Broekman Logistics India Private Limited,Logistics,Avinashi Road – Arasur Industrial Corridor,11.0400852,77.0359368,https://www.google.com/maps/place/Broekman+Logistics+India+Private+Limited/data=!4m7!3m6!1s0x3ba857bebcb5cba1:0x8eb36c38b08cf81c!8m2!3d11.0400852!4d77.0359368!16s%2Fg%2F1tdl94f9!19sChIJocu1vL5XqDsRHPiMsDhss44?authuser=0&hl=en&rclk=1
"POINT (77.0395078 11.0352682)",Greenwich Meridian Logistics (I) Pvt. Ltd.,Logistics,Avinashi Road – Arasur Industrial Corridor,11.0352682,77.0395078,https://www.google.com/maps/place/Greenwich+Meridian+Logistics+%28I%29+Pvt.+Ltd./data=!4m7!3m6!1s0x3ba857bf13b8c3ef:0x4960cc7f3f11911e!8m2!3d11.0352682!4d77.0395078!16s%2Fg%2F11b6p4l2tk!19sChIJ78O4E79XqDsRHpERP3_MYEk?authuser=0&hl=en&rclk=1
"POINT (77.0661135 11.0458146)",SG Packers & Movers,Logistics,Avinashi Road – Arasur Industrial Corridor,11.0458146,77.0661135,https://www.google.com/maps/place/SG+Packers+%26+Movers/data=!4m7!3m6!1s0x3ba857afed573df9:0x3808a1f04ddd47c2!8m2!3d11.0458146!4d77.0661135!16s%2Fg%2F11w26m95pk!19sChIJ-T1X7a9XqDsRwkfdTfChCDg?authuser=0&hl=en&rclk=1
"POINT (77.0882944 11.058622)",Serendip Sourcing Private Limited,Logistics,Avinashi Road – Arasur Industrial Corridor,11.058622,77.0882944,https://www.google.com/maps/place/Serendip+Sourcing+Private+Limited/data=!4m7!3m6!1s0x3ba855eec7a14679:0xf561d8f07faa376d!8m2!3d11.058622!4d77.0882944!16s%2Fg%2F11thj_6j8v!19sChIJeUahx-5VqDsRbTeqf_DYYfU?authuser=0&hl=en&rclk=1
"POINT (77.0379475 11.0399077)",Indus Electronics India (P) Ltd,Manufacturers,Avinashi Road – Arasur Industrial Corridor,11.0399077,77.0379475,https://www.google.com/maps/place/Indus+Electronics+India+%28P%29+Ltd/data=!4m7!3m6!1s0x3ba857c0bcdf6d11:0xcb256ee067718c12!8m2!3d11.0399077!4d77.0379475!16s%2Fg%2F1tlmls2j!19sChIJEW3fvMBXqDsREoxxZ-BuJcs?authuser=0&hl=en&rclk=1
"POINT (77.0535681 11.0439162)",EARTHING MATERIALS IN TAMILNADU,Manufacturers,Avinashi Road – Arasur Industrial Corridor,11.0439162,77.0535681,https://www.google.com/maps/place/EARTHING+MATERIALS+IN+TAMILNADU/data=!4m7!3m6!1s0x3ba85788b84ec0ef:0xf8b229fa8515e5ed!8m2!3d11.0439162!4d77.0535681!16s%2Fg%2F11lhqb1cyy!19sChIJ78BOuIhXqDsR7eUVhfopsvg?authuser=0&hl=en&rclk=1
"POINT (77.0461182 11.06715)",Easytech CNC Machinery Manufacturing,Manufacturers,Avinashi Road – Arasur Industrial Corridor,11.06715,77.0461182,https://www.google.com/maps/place/Easytech+CNC+Machinery+Manufacturing/data=!4m7!3m6!1s0x3ba8f87a1e56aaab:0x67113f9e20494f87!8m2!3d11.06715!4d77.0461182!16s%2Fg%2F11t005yrgq!19sChIJq6pWHnr4qDsRh09JIJ4_EWc?authuser=0&hl=en&rclk=1
"POINT (77.1027346 11.0750745)",M.M Gears Pvt Ltd - Coimbatore, India,Manufacturers,Avinashi Road – Arasur Industrial Corridor,11.0750745,77.1027346,https://www.google.com/maps/place/M.M+Gears+Pvt+Ltd+-+Coimbatore,+India/data=!4m7!3m6!1s0x3ba84b43c595a677:0xaf7c703e30a74124!8m2!3d11.0750745!4d77.1027346!16s%2Fg%2F1hg4w1n9f!19sChIJd6aVxUNLqDsRJEGnMD5wfK8?authuser=0&hl=en&rclk=1
"POINT (77.0489843 11.0523173)",ASK 3 Star Steels - Furniture Factory,Manufacturers,Avinashi Road – Arasur Industrial Corridor,11.0523173,77.0489843,https://www.google.com/maps/place/ASK+3+Star+Steels+-+Furniture+Factory/data=!4m7!3m6!1s0x3ba857d1bedc3e3f:0x634a541f8c470ea6!8m2!3d11.0523173!4d77.0489843!16s%2Fg%2F11xfjmpfz!19sChIJPz7cvtFXqDsRpg5HjB9USmM?authuser=0&hl=en&rclk=1
"POINT (77.037155 11.0492318)",M/s Kovai Woodstar Automation and Technology Pvt Ltd,Manufacturers,Avinashi Road – Arasur Industrial Corridor,11.0492318,77.037155,https://www.google.com/maps/place/M%2Fs+Kovai+Woodstar+Automation+and+Technology+Pvt+Ltd/data=!4m7!3m6!1s0x3ba857c322aaa713:0x75f763158b749a64!8m2!3d11.0492318!4d77.037155!16s%2Fg%2F11b6cdpn61!19sChIJE6eqIsNXqDsRZJp0ixVj93U?authuser=0&hl=en&rclk=1
"POINT (77.0646448 11.0698729)",Dharshini Impex (P) Limited,Manufacturers,Avinashi Road – Arasur Industrial Corridor,11.0698729,77.0646448,https://www.google.com/maps/place/Dharshini+Impex+%28P%29+Limited/data=!4m7!3m6!1s0x3ba858526b5c0591:0x2c1a977c8c30426d!8m2!3d11.0698729!4d77.0646448!16s%2Fg%2F1ts3d15y!19sChIJkQVca1JYqDsRbUIwjHyXGiw?authuser=0&hl=en&rclk=1
