WKT,Name,Latitude,Longitude,Google Maps Link,Category
"POINT (77.4171237 10.7825748)",Uppar Water Reservoir,10.7825748,77.4171237,https://www.google.com/maps/place/Uppar+Water+Reservoir/data=!4m7!3m6!1s0x3ba9b9a42d2d50ef:0x6054e417c27dca98!8m2!3d10.7825748!4d77.4171237!16s%2Fg%2F1tl7m4dq!19sChIJ71AtLaS5qTsRmMp9whfkVGA?authuser=0&hl=en&rclk=1,Reservoir
"POINT (77.5246314 11.1075837)",Orathuppalayam Reservoir,11.1075837,77.5246314,https://www.google.com/maps/place/Orathuppalayam+Reservoir/data=!4m7!3m6!1s0x3ba90af46ff16dc7:0x62bbeb1edf12123!8m2!3d11.1075837!4d77.5246314!16s%2Fg%2F1tj9rsjw!19sChIJx23xb_QKqTsRIyHx7bG-KwY?authuser=0&hl=en&rclk=1,Reservoir
"POINT (77.6092188 10.7074345)",Nallathangaal Oadai Reservoir,10.7074345,77.6092188,https://www.google.com/maps/place/Nallathangaal+Oadai+Reservoir/data=!4m7!3m6!1s0x3ba9eae1fa20375f:0x50b484f2c18a7ea1!8m2!3d10.7074345!4d77.6092188!16s%2Fg%2F1vxfylv3!19sChIJXzcg-uHqqTsRoX6KwfKEtFA?authuser=0&hl=en&rclk=1,Reservoir
"POINT (77.1003323 11.2379779)",Annur Lake,11.2379779,77.1003323,https://www.google.com/maps/place/Annur+Lake/data=!4m7!3m6!1s0x3ba8fb544e84c41f:0xb92b0e664b12ef01!8m2!3d11.2379779!4d77.1003323!16s%2Fg%2F1tf85j6g!19sChIJH8SETlT7qDsRAe8SS2YOK7k?authuser=0&hl=en&rclk=1,Lake
"POINT (77.0402887 11.1452936)",AGRHARASAMAKULAM LAKE,11.1452936,77.0402887,https://www.google.com/maps/place/AGRHARASAMAKULAM+LAKE/data=!4m7!3m6!1s0x3ba8f9eea6b61c1f:0xe258a5617804b92e!8m2!3d11.1452936!4d77.0402887!16s%2Fg%2F11srs9r0v7!19sChIJHxy2pu75qDsRLrkEeGGlWOI?authuser=0&hl=en&rclk=1,Swimming lake
"POINT (77.0197426 11.1290666)",KONDAYAMPALAYAM KULAM,11.1290666,77.0197426,https://www.google.com/maps/place/KONDAYAMPALAYAM+KULAM/data=!4m7!3m6!1s0x3ba8f9dd690db11f:0xce66d1f4a8bde4f5!8m2!3d11.1290666!4d77.0197426!16s%2Fg%2F11b6b39flv!19sChIJH7ENad35qDsR9eS9qPTRZs4?authuser=0&hl=en&rclk=1,Lake
"POINT (77.1028498 11.2564764)",Sellanur Lake,11.2564764,77.1028498,https://www.google.com/maps/place/Sellanur+Lake/data=!4m7!3m6!1s0x3ba8e358a1a66c55:0xc130791a0ec8746c!8m2!3d11.2564764!4d77.1028498!16s%2Fg%2F1vppqzf2!19sChIJVWymoVjjqDsRbHTIDhp5MME?authuser=0&hl=en&rclk=1,Lake
"POINT (77.0956567 11.2679589)",Vadakkalur Lake,11.2679589,77.0956567,https://www.google.com/maps/place/Vadakkalur+Lake/data=!4m7!3m6!1s0x3ba8e49eccc64ce3:0xaed84f5c2c913ee6!8m2!3d11.2679589!4d77.0956567!16s%2Fg%2F1tftvdd1!19sChIJ40zGzJ7kqDsR5j6RLFxP2K4?authuser=0&hl=en&rclk=1,Lake
"POINT (77.1132654 11.2467822)",Allikulam Lake,11.2467822,77.1132654,https://www.google.com/maps/place/Allikulam+Lake/data=!4m7!3m6!1s0x3ba8e3efee66093d:0xa641348611ef6d93!8m2!3d11.2467822!4d77.1132654!16s%2Fg%2F11f733crmm!19sChIJPQlm7u_jqDsRk23vEYY0QaY?authuser=0&hl=en&rclk=1,Swimming lake
"POINT (77.0347165 11.0767203)",Kalapatti lake restored by E.F.I,11.0767203,77.0347165,https://www.google.com/maps/place/Kalapatti+lake+restored+by+E.F.I/data=!4m7!3m6!1s0x3ba8f9a8817bdc03:0x28a6bf573c9e5f1b!8m2!3d11.0767203!4d77.0347165!16s%2Fg%2F11sfh4n3pp!19sChIJA9x7gaj5qDsRG1-ePFe_pig?authuser=0&hl=en&rclk=1,Hiking area
"POINT (77.0402887 11.1452936)",Kalingarayankulam.Outlet Waterway,11.1452936,77.0402887,https://www.google.com/maps/place/Kalingarayankulam.Outlet+Waterway/data=!4m7!3m6!1s0x3ba8f9005e93c279:0xcb7d1d70eb33cb9!8m2!3d11.1452936!4d77.0402887!16s%2Fg%2F11mlsdsprc!19sChIJecKTXgD5qDsRuTyzDtfRtww?authuser=0&hl=en&rclk=1,Swimming lake
"POINT (77.0753494 11.2096537)",Kembanaickanpalayam kulam,11.2096537,77.0753494,https://www.google.com/maps/place/Kembanaickanpalayam+kulam/data=!4m7!3m6!1s0x3ba8fb00785d885f:0x62d94c22e907acba!8m2!3d11.2096537!4d77.0753494!16s%2Fg%2F11yh3my2wb!19sChIJX4hdeAD7qDsRuqwH6SJM2WI?authuser=0&hl=en&rclk=1,Swimming lake
"POINT (77.0402887 11.1452936)",Kousika -Kalingarayankulam Water way joining Place,11.1452936,77.0402887,https://www.google.com/maps/place/Kousika+-Kalingarayankulam+Water+way+joining+Place/data=!4m7!3m6!1s0x3ba8f90034e6c9c5:0x1e93b3a0b8a247d3!8m2!3d11.1452936!4d77.0402887!16s%2Fg%2F11ymhpmjgx!19sChIJxcnmNAD5qDsR00eiuKCzkx4?authuser=0&hl=en&rclk=1,Swimming lake
"POINT (76.9679066 11.2529581)",Belladhi Lake,11.2529581,76.9679066,https://www.google.com/maps/place/Belladhi+Lake/data=!4m7!3m6!1s0x3ba8efcbf84b157d:0x613f20d4f0214a77!8m2!3d11.2529581!4d76.9679066!16s%2Fg%2F1tcztct5!19sChIJfRVL-MvvqDsRd0oh8NQgP2E?authuser=0&hl=en&rclk=1,Seasonal lake
